1,0,0,0,0
1,0,2,1,1938
1,0,4,2,1938
1,0,6,4,1938
1,0,8,5,1938
1,0,10,6,1938
1,0,12,7,1938
1,0,14,8,1938
1,0,16,10,1938
1,0,18,11,1938
1,0,20,12,1938
1,0,22,13,1938
1,0,24,14,1938
1,0,26,16,1938
1,0,28,17,1938
1,0,30,18,1938
1,0,32,19,1938
1,0,34,20,1938
1,0,36,22,1938
1,0,38,23,1938
1,0,40,24,1938
1,0,42,25,1938
1,0,44,26,1938
1,0,46,28,1938
1,0,48,29,1938
1,0,50,30,1938
1,0,48,29,1938
1,0,46,28,1938
1,0,44,26,1938
1,0,42,25,1938
1,0,40,24,1938
1,0,38,23,1938
1,0,36,22,1938
1,0,34,20,1938
1,0,32,19,1938
1,0,30,18,1938
1,0,28,17,1938
1,0,26,16,1938
1,0,24,14,1938
1,0,22,13,1938
1,0,20,12,1938
1,0,18,11,1938
1,0,16,10,1938
1,0,14,8,1938
1,0,12,7,1938
1,0,10,6,1938
1,0,8,5,1938
1,0,6,4,1938
1,0,4,2,1938
1,0,2,1,1938
0,0,0,0,1938
0,0,2,1,1938
0,0,4,2,1938
0,0,6,4,1938
0,0,8,5,1938
0,0,10,6,1938
0,0,12,7,1938
0,0,14,8,1938
0,0,16,10,1938
0,0,18,11,1938
0,0,20,12,1938
0,0,22,13,1938
0,0,24,14,1938
0,0,26,16,1938
0,0,28,17,1938
0,0,30,18,1938
0,0,32,19,1938
0,0,34,20,1938
0,0,36,22,1938
0,0,38,23,1938
0,0,40,24,1938
0,0,42,25,1938
0,0,44,26,1938
0,0,46,28,1938
0,0,48,29,1938
0,0,50,30,1938
0,0,48,29,1938
0,0,46,28,1938
0,0,44,26,1938
0,0,42,25,1938
0,0,40,24,1938
0,0,38,23,1938
0,0,36,22,1938
0,0,34,20,1938
0,0,32,19,1938
0,0,30,18,1938
0,0,28,17,1938
0,0,26,16,1938
0,0,24,14,1938
0,0,22,13,1938
0,0,20,12,1938
0,0,18,11,1938
0,0,16,10,1938
0,0,14,8,1938
0,0,12,7,1938
0,0,10,6,1938
0,0,8,5,1938
0,0,6,4,1938
0,0,4,2,1938
0,0,2,1,1938
0,0,0,0,1938
