1,0,0,0,0
1,0,5,5,1938
1,0,10,10,1938
1,0,15,15,1938
1,0,20,20,1938
1,0,26,26,1938
1,0,31,31,1938
1,0,36,36,1938
1,0,41,41,1938
1,0,46,46,1938
1,0,51,51,1938
1,0,56,56,1938
1,0,61,61,1938
1,0,67,67,1938
1,0,72,72,1938
1,0,77,77,1938
1,0,82,82,1938
1,0,87,87,1938
1,0,92,92,1938
1,0,97,97,1938
1,0,102,102,1938
1,0,108,108,1938
1,0,113,113,1938
1,0,118,118,1938
1,0,123,123,1938
1,0,128,128,1938
1,0,123,123,1938
1,0,118,118,1938
1,0,113,113,1938
1,0,108,108,1938
1,0,102,102,1938
1,0,97,97,1938
1,0,92,92,1938
1,0,87,87,1938
1,0,82,82,1938
1,0,77,77,1938
1,0,72,72,1938
1,0,67,67,1938
1,0,61,61,1938
1,0,56,56,1938
1,0,51,51,1938
1,0,46,46,1938
1,0,41,41,1938
1,0,36,36,1938
1,0,31,31,1938
1,0,26,26,1938
1,0,20,20,1938
1,0,15,15,1938
1,0,10,10,1938
1,0,5,5,1938
0,0,0,0,1938
0,0,1,1,1938
0,0,2,2,1938
0,0,2,2,1938
0,0,3,3,1938
0,0,4,4,1938
0,0,5,5,1938
0,0,6,6,1938
0,0,6,6,1938
0,0,7,7,1938
0,0,8,8,1938
0,0,9,9,1938
0,0,10,10,1938
0,0,10,10,1938
0,0,11,11,1938
0,0,12,12,1938
0,0,13,13,1938
0,0,14,14,1938
0,0,14,14,1938
0,0,15,15,1938
0,0,16,16,1938
0,0,17,17,1938
0,0,18,18,1938
0,0,18,18,1938
0,0,19,19,1938
0,0,20,20,1938
0,0,19,19,1938
0,0,18,18,1938
0,0,18,18,1938
0,0,17,17,1938
0,0,16,16,1938
0,0,15,15,1938
0,0,14,14,1938
0,0,14,14,1938
0,0,13,13,1938
0,0,12,12,1938
0,0,11,11,1938
0,0,10,10,1938
0,0,10,10,1938
0,0,9,9,1938
0,0,8,8,1938
0,0,7,7,1938
0,0,6,6,1938
0,0,6,6,1938
0,0,5,5,1938
0,0,4,4,1938
0,0,3,3,1938
0,0,2,2,1938
0,0,2,2,1938
0,0,1,1,1938
0,0,0,0,1938
