Double Langmuir probe analysis: 2026_06_10_DLP_ACQ2
===================================================
Samples available:         22578
Samples fitted:            22578
Voltage range:             -62.76 to 14.79 V
Current range:             -1.0639e-03 to 1.3051e-02 A

Fit model
  I = Is * tanh(V / (2 * Te)) + G * V

Plasma parameters
  Electron temperature Te: -0.978103 eV
  Electron density n:      nan m^-3
  Ion saturation Is:       -8.806416e-03 A
  Conductance correction G:-0.000191376 A/V

Derived quantities
  Probe area:              2.010000e-06 m^2
  Ion mass:                39.9 amu
  Sound speed:             nan m/s

Fit quality
  R-squared:               -1.631936

Fit data
  voltage_V, current_A, fitted_current_A
  -62.75551, -0.000886885, 0.0032034916
  -62.75551, -0.0008163328, 0.0032034916
  -62.75551, -0.0008944584, 0.0032034916
  -62.749055, -0.0009442834, 0.0032022563
  -62.749055, -0.0007700952, 0.0032022563
  -62.749055, -0.0007916196, 0.0032022563
  -62.7426, -0.0008155356, 0.0032010209
  -62.7426, -0.0007099066, 0.0032010209
  -62.7426, -0.000960626, 0.0032010209
  -62.7426, -0.0007896266, 0.0032010209
  -62.7426, -0.0008402488, 0.0032010209
  -62.7426, -0.000611851, 0.0032010209
  -62.7426, -0.0007521582, 0.0032010209
  -62.7426, -0.0006660606, 0.0032010209
  -62.72969, -0.000860976, 0.0031985503
  -62.72969, -0.000691571, 0.0031985503
  -62.72969, -0.000745382, 0.0031985503
  -62.72969, -0.000793214, 0.0031985503
  -62.72969, -0.0007629204, 0.0031985503
  -62.72969, -0.0008135426, 0.0031985503
  -62.72969, -0.0009693952, 0.0031985503
  -62.72969, -0.0007366128, 0.0031985503
  -62.72969, -0.0007796616, 0.0031985503
  -62.723235, -0.0007716896, 0.0031973149
  -62.723235, -0.000845032, 0.0031973149
  -62.723235, -0.0007820532, 0.0031973149
  -62.723235, -0.0008613746, 0.0031973149
  -62.723235, -0.0007924168, 0.0031973149
  -62.723235, -0.0008255006, 0.0031973149
  -62.723235, -0.0006150398, 0.0031973149
  -62.723235, -0.0007728854, 0.0031973149
  -62.723235, -0.0007402002, 0.0031973149
  -62.723235, -0.0007465778, 0.0031973149
  -62.723235, -0.0006967528, 0.0031973149
  -62.723235, -0.0006859906, 0.0031973149
  -62.723235, -0.0008466264, 0.0031973149
  -62.723235, -0.000878913, 0.0031973149
  -62.723235, -0.0008745284, 0.0031973149
  -62.723235, -0.000745382, 0.0031973149
  -62.723235, -0.0008203188, 0.0031973149
  -62.71678, -0.0008801088, 0.0031960796
  -62.71678, -0.0007409974, 0.0031960796
  -62.71678, -0.0008243048, 0.0031960796
  -62.71678, -0.000711501, 0.0031960796
  -62.71678, -0.0007876336, 0.0031960796
  -62.71678, -0.0008637662, 0.0031960796
  -62.71678, -0.000743389, 0.0031960796
  -62.71678, -0.0008825004, 0.0031960796
  -62.71678, -0.0008087594, 0.0031960796
  -62.71678, -0.000793214, 0.0031960796
  -62.71678, -0.0007744798, 0.0031960796
  -62.71678, -0.0007720882, 0.0031960796
