Single Langmuir probe analysis: 2026_06_10_SLP_ACQ36
====================================================
Samples available:         22578
Samples fitted:            7452
Voltage range:             -62.31 to 16.32 V
Current range:             -2.4608e-04 to 7.9448e-03 A

Fit model
  I = Is * (1 + R * (V - Vf)) * (exp((V - Vf) / Te) - 1)

Plasma parameters
  Electron temperature Te: 0.188328 eV
  Electron density n:      -5.449355e+18 m^-3
  Ion saturation Is:       -1.864901e-03 A
  Floating potential Vf:   -19.5598 V
  Plasma potential Vp:     -18.8006 V
  R correction:            0.0274143

Derived quantities
  Probe area:              2.010000e-06 m^2
  Ion mass:                4 amu
  Sound speed:             2.125338e+03 m/s
  Alpha:                   4.03165

Fit quality
  R-squared:               0.892802

Fit data
  voltage_V, current_A, fitted_current_A
  -62.310115, -8.5932e-05, -0.00032070939
  -62.310115, -3.1248e-05, -0.00032070939
  -62.30366, -0.00015624, -0.00032037938
  -62.30366, 3.1248e-05, -0.00032037938
  -62.297205, 5.4684e-05, -0.00032004937
  -62.297205, -0.000152334, -0.00032004937
  -62.297205, -0.00017577, -0.00032004937
  -62.29075, -0.000183582, -0.00031971936
  -62.29075, 5.4684e-05, -0.00031971936
  -62.29075, -0.000144522, -0.00031971936
  -62.29075, -5.4684e-05, -0.00031971936
  -62.29075, -9.3744e-05, -0.00031971936
  -62.284295, -0.000160146, -0.00031938934
  -62.284295, 3.1248e-05, -0.00031938934
  -62.284295, -6.6402e-05, -0.00031938934
  -62.284295, 2.7342e-05, -0.00031938934
  -62.284295, -7.812e-05, -0.00031938934
  -62.284295, -0.000132804, -0.00031938934
  -62.284295, -0.000148428, -0.00031938934
  -62.27784, -0.00011718, -0.00031905933
  -62.27784, -0.000191394, -0.00031905933
  -62.27784, -0.000132804, -0.00031905933
  -62.27784, -6.2496e-05, -0.00031905933
  -62.27784, -7.812e-05, -0.00031905933
  -62.27784, -0.000132804, -0.00031905933
  -62.27784, -8.2026e-05, -0.00031905933
  -62.27784, -7.812e-05, -0.00031905933
  -62.271385, -4.6872e-05, -0.00031872932
  -62.271385, -3.906e-05, -0.00031872932
  -62.271385, -1.5624e-05, -0.00031872932
  -62.271385, -7.4214e-05, -0.00031872932
  -62.271385, -0.000132804, -0.00031872932
  -62.271385, -5.859e-05, -0.00031872932
  -62.26493, -0.000128898, -0.00031839931
  -62.26493, -5.859e-05, -0.00031839931
  -62.26493, -7.812e-05, -0.00031839931
  -62.26493, -7.812e-05, -0.00031839931
  -62.26493, -0.000132804, -0.00031839931
  -62.26493, -2.3436e-05, -0.00031839931
  -62.26493, -0.000167958, -0.00031839931
  -62.26493, -0.000164052, -0.00031839931
  -62.26493, -5.0778e-05, -0.00031839931
  -62.26493, -0.00011718, -0.00031839931
  -62.26493, -0.000124992, -0.00031839931
  -62.26493, 4.6872e-05, -0.00031839931
  -62.26493, -7.0308e-05, -0.00031839931
  -62.258475, -0.000132804, -0.00031806929
  -62.258475, -0.000101556, -0.00031806929
  -62.258475, -0.000101556, -0.00031806929
  -62.258475, -0.000152334, -0.00031806929
  -62.258475, -0.000148428, -0.00031806929
  -62.258475, -7.812e-06, -0.00031806929
  -62.258475, -0.00015624, -0.00031806929
  -62.258475, -0.000167958, -0.00031806929
  -62.258475, 4.2966e-05, -0.00031806929
  -62.258475, -6.6402e-05, -0.00031806929
  -62.25202, -5.859e-05, -0.00031773928
  -62.25202, -0.00017577, -0.00031773928
  -62.25202, -0.000109368, -0.00031773928
  -62.25202, -0.0001953, -0.00031773928
  -62.25202, -0.000187488, -0.00031773928
  -62.25202, -0.00021483, -0.00031773928
  -62.25202, -3.5154e-05, -0.00031773928
  -62.25202, -0.000183582, -0.00031773928
  -62.245565, -0.000183582, -0.00031740927
  -62.245565, -0.000101556, -0.00031740927
  -62.245565, -0.000191394, -0.00031740927
  -62.245565, -7.812e-06, -0.00031740927
  -62.245565, -0.000105462, -0.00031740927
  -62.245565, -0.000160146, -0.00031740927
  -62.245565, -8.5932e-05, -0.00031740927
  -62.245565, -0.00011718, -0.00031740927
  -62.23911, -0.000128898, -0.00031707926
  -62.23911, -6.2496e-05, -0.00031707926
  -62.23911, -0.000148428, -0.00031707926
  -62.23911, -3.906e-05, -0.00031707926
  -62.23911, -0.000132804, -0.00031707926
  -62.232655, -1.953e-05, -0.00031674924
  -62.232655, -0.000128898, -0.00031674924
  -62.232655, -2.7342e-05, -0.00031674924
  -62.232655, -0.000109368, -0.00031674924
  -62.232655, -6.6402e-05, -0.00031674924
  -62.2262, -0.000132804, -0.00031641923
  -62.2262, -0.000121086, -0.00031641923
  -62.2262, -8.2026e-05, -0.00031641923
  -62.2262, -0.000183582, -0.00031641923
  -62.2262, -0.000191394, -0.00031641923
  -62.219745, -0.000105462, -0.00031608922
  -62.219745, -0.000171864, -0.00031608922
  -62.219745, -0.000187488, -0.00031608922
  -62.219745, -0.000164052, -0.00031608922
  -62.219745, -0.000132804, -0.00031608922
  -62.219745, -0.000171864, -0.00031608922
  -62.219745, -6.6402e-05, -0.00031608922
  -62.219745, -0.000128898, -0.00031608922
  -62.21329, -5.859e-05, -0.00031575921
  -62.21329, -7.812e-05, -0.00031575921
  -62.21329, -0.000191394, -0.00031575921
  -62.21329, -0.00015624, -0.00031575921
  -62.21329, 6.6402e-05, -0.00031575921
  -62.21329, -0.00011718, -0.00031575921
  -62.206835, -0.000140616, -0.0003154292
  -62.206835, -6.6402e-05, -0.0003154292
  -62.206835, -7.812e-05, -0.0003154292
  -62.206835, -0.000160146, -0.0003154292
  -62.206835, -0.000105462, -0.0003154292
  -62.20038, -0.00013671, -0.00031509918
  -62.20038, -0.000101556, -0.00031509918
  -62.193925, -8.9838e-05, -0.00031476917
  -62.193925, -0.000140616, -0.00031476917
  -62.193925, -7.0308e-05, -0.00031476917
  -62.18747, -3.906e-05, -0.00031443916
  -62.181015, -3.1248e-05, -0.00031410915
  -62.168105, 7.812e-06, -0.00031344912
  -62.155195, -0.000144522, -0.0003127891
  -62.155195, -9.3744e-05, -0.0003127891
  -62.155195, -0.000187488, -0.0003127891
  -62.142285, -0.000121086, -0.00031212907
  -62.13583, -0.000144522, -0.00031179906
  -62.116465, -0.000140616, -0.00031080902
  -62.116465, -0.000144522, -0.00031080902
  -62.116465, -0.000246078, -0.00031080902
  -62.11001, -5.4684e-05, -0.00031047901
  -62.090645, -3.906e-05, -0.00030948898
  -62.090645, -0.000144522, -0.00030948898
  -62.077735, -0.000128898, -0.00030882895
  -62.051915, -0.000132804, -0.0003075089
  -62.039005, -9.765e-05, -0.00030684888
  -62.01964, 6.6402e-05, -0.00030585884
  -61.99382, -0.000167958, -0.00030453879
  -61.99382, -0.000148428, -0.00030453879
  -61.99382, 4.6872e-05, -0.00030453879
  -61.974455, -0.000152334, -0.00030354875
  -61.95509, -8.9838e-05, -0.00030255872
  -61.94218, -0.000152334, -0.00030189869
  -61.935725, -0.000105462, -0.00030156868
  -61.91636, -0.000101556, -0.00030057864
  -61.89054, -7.812e-06, -0.0002992586
  -61.884085, -6.6402e-05, -0.00029892858
  -61.858265, -0.000109368, -0.00029760853
  -61.85181, 7.812e-06, -0.00029727852
  -61.82599, -9.765e-05, -0.00029595847
  -61.80017, -1.1718e-05, -0.00029463842
  -61.793715, -0.000144522, -0.00029430841
  -61.754985, -6.6402e-05, -0.00029232834
  -61.754985, -0.000128898, -0.00029232834
  -61.754985, -0.000199206, -0.00029232834
  -61.729165, 8.5932e-05, -0.00029100829
