1,1,0,149,142,0,0,2174062080,0x81958E00,600,ritorno a zero
1,1,0,145,138,0,0,2173798912,0x81918A00,600,ritorno a zero
1,1,0,142,135,0,0,2173601536,0x818E8700,600,ritorno a zero
1,1,0,138,132,0,0,2173338624,0x818A8400,600,ritorno a zero
1,1,0,135,128,0,0,2173140992,0x81878000,600,ritorno a zero
1,1,0,131,125,0,0,2172878080,0x81837D00,600,ritorno a zero
1,1,0,128,122,0,0,2172680704,0x81807A00,600,ritorno a zero
1,1,0,124,118,0,0,2172417536,0x817C7600,600,ritorno a zero
1,1,0,121,115,0,0,2172220160,0x81797300,600,ritorno a zero
1,1,0,117,111,0,0,2171956992,0x81756F00,600,ritorno a zero
1,1,0,113,108,0,0,2171694080,0x81716C00,600,ritorno a zero
1,1,0,110,105,0,0,2171496704,0x816E6900,600,ritorno a zero
1,1,0,106,101,0,0,2171233536,0x816A6500,600,ritorno a zero
1,1,0,103,98,0,0,2171036160,0x81676200,600,ritorno a zero
1,1,0,99,94,0,0,2170772992,0x81635E00,600,ritorno a zero
1,1,0,96,91,0,0,2170575616,0x81605B00,600,ritorno a zero
1,1,0,92,88,0,0,2170312704,0x815C5800,600,ritorno a zero
1,1,0,88,84,0,0,2170049536,0x81585400,600,ritorno a zero
1,1,0,85,81,0,0,2169852160,0x81555100,600,ritorno a zero
1,1,0,81,77,0,0,2169588992,0x81514D00,600,ritorno a zero
1,1,0,78,74,0,0,2169391616,0x814E4A00,600,ritorno a zero
1,1,0,74,71,0,0,2169128704,0x814A4700,600,ritorno a zero
1,1,0,71,67,0,0,2168931072,0x81474300,600,ritorno a zero
1,1,0,67,64,0,0,2168668160,0x81434000,600,ritorno a zero
1,1,0,64,61,0,0,2168470784,0x81403D00,600,ritorno a zero
1,1,0,60,57,0,0,2168207616,0x813C3900,600,ritorno a zero
1,1,0,56,54,0,0,2167944704,0x81383600,600,ritorno a zero
1,1,0,53,50,0,0,2167747072,0x81353200,600,ritorno a zero
1,1,0,49,47,0,0,2167484160,0x81312F00,600,ritorno a zero
1,1,0,46,44,0,0,2167286784,0x812E2C00,600,ritorno a zero
1,1,0,42,40,0,0,2167023616,0x812A2800,600,ritorno a zero
